R G B
38 38 38
102 102 102
102 102 102
255 255 153
255 254 147
255 253 141
255 252 136
255 251 130
255 250 125
255 249 119
255 247 114
255 246 108
255 244 102
255 243 97
255 241 91
255 240 86
255 238 80
255 236 75
255 234 69
255 232 63
255 230 58
255 228 52
255 225 47
255 223 41
255 221 36
255 218 30
170 255 0
161 252 0
153 249 0
145 246 0
137 243 0
129 240 0
121 237 0
114 234 0
106 231 0
99 228 0
92 225 0
85 222 0
78 219 0
72 216 0
65 213 0
59 210 0
53 207 0
47 204 0
41 201 0
35 198 0
30 195 0
24 192 0
19 189 0
14 186 0
9 183 0
4 180 0
0 178 0
26 140 26
26 137 26
26 135 26
25 133 25
25 130 25
24 128 24
24 126 24
24 124 24
23 121 23
23 119 23
22 117 22
22 114 22
21 112 21
21 110 21
21 108 21
20 105 20
20 103 20
19 101 19
19 98 19
18 96 18
18 94 18
18 91 18
17 89 17
17 87 17
16 85 16
16 82 16
15 80 15
15 78 15
14 75 14
0 169 255
0 163 253
0 157 252
0 151 250
0 146 249
0 140 247
0 135 246
0 129 244
0 124 243
0 119 241
0 113 240
0 108 238
0 103 237
0 98 236
0 93 234
0 88 233
0 83 231
0 78 230
0 73 228
0 68 227
0 64 225
0 59 224
0 54 222
0 50 221
0 45 220
0 41 218
0 37 217
0 32 215
0 28 214
0 24 212
0 20 211
0 15 209
0 11 208
0 7 206
0 3 205
255 127 255
252 124 252
250 122 250
247 120 247
245 118 245
242 116 242
240 114 240
237 112 237
235 109 235
232 107 232
230 105 230
227 103 227
225 101 225
223 99 223
220 98 220
218 96 218
215 94 215
213 92 213
210 90 210
208 88 208
205 86 205
203 84 203
200 83 200
198 81 198
195 79 195
193 77 193
191 76 191
188 74 188
186 72 186
183 71 183
181 69 181
178 67 178
176 66 176
173 64 173
171 63 171
168 61 168
166 59 166
163 58 163
161 56 161
159 55 159
156 54 156
154 52 154
151 51 151
149 49 149
146 48 146
144 47 144
141 45 141
139 44 139
136 43 136
134 41 134
131 40 131
129 39 129
255 49 49
251 49 49
248 49 49
245 49 49
242 49 49
239 49 49
236 49 49
233 49 49
230 49 49
227 49 49
224 49 49
221 48 48
218 48 48
215 48 48
212 48 48
209 48 48
206 47 47
203 47 47
200 47 47
197 47 47
194 46 46
191 46 46
187 46 46
184 45 45
181 45 45
178 45 45
175 44 44
172 44 44
169 44 44
166 43 43
163 43 43
160 42 42
157 42 42
154 41 41
151 41 41
148 40 40
145 40 40
142 39 39
139 39 39
136 38 38
133 38 38
130 37 37
127 37 37
255 170 49
252 167 48
250 165 46
247 162 45
245 160 43
243 157 42
240 155 40
238 152 39
236 150 37
233 148 36
231 145 34
228 143 33
226 141 32
224 138 30
221 136 29
219 134 28
217 131 26
214 129 25
212 127 24
209 125 22
207 122 21
205 120 20
202 118 19
200 116 18
198 114 17
195 111 16
193 109 14
190 107 13
188 105 12
186 103 11
183 101 10
181 99 9
179 97 8
176 95 8
174 93 7
171 91 6
169 89 5
167 87 4
164 85 3
162 83 2
160 81 2
157 79 1
155 77 0
153 76 0
