R G B
165 165 165
158 158 158
152 152 152
145 145 145
139 139 139
133 133 133
126 126 126
120 120 120
113 113 113
178 178 124
172 172 120
167 167 117
162 162 113
157 157 110
152 152 106
147 147 103
142 142 99
137 137 96
132 132 92
204 204 60
200 200 58
196 196 57
193 193 56
189 189 55
185 185 54
182 182 53
178 178 52
174 174 51
171 171 50
167 167 49
163 163 48
160 160 47
156 156 46
255 212 0
250 208 0
246 204 0
242 201 0
237 197 0
233 194 0
229 190 0
225 187 0
220 183 0
216 180 0
212 176 0
207 172 0
203 169 0
199 165 0
195 162 0
190 158 0
186 155 0
182 151 0
148 255 0
135 250 0
123 246 0
112 242 0
101 237 0
90 233 0
79 229 0
69 225 0
59 220 0
50 216 0
41 212 0
32 208 0
23 203 0
15 199 0
7 195 0
0 190 0
0 169 255
0 161 253
0 154 251
0 147 249
0 140 247
0 133 245
0 127 244
0 120 242
0 113 240
0 107 238
0 100 236
0 94 234
0 88 233
0 82 231
0 76 229
0 70 227
0 64 225
0 58 224
0 52 222
0 46 220
0 41 218
0 35 216
0 30 214
0 25 213
0 20 211
0 14 209
0 9 207
0 4 205
255 76 76
251 74 74
247 73 73
243 72 72
239 71 71
235 70 70
231 68 68
227 67 67
223 66 66
219 65 65
215 64 64
211 62 62
207 61 61
203 60 60
199 59 59
195 58 58
191 57 57
187 55 55
183 54 54
179 53 53
175 52 52
171 51 51
167 49 49
163 48 48
159 47 47
155 46 46
151 45 45
147 43 43
143 42 42
139 41 41
135 40 40
131 39 39
255 76 255
249 74 249
243 72 243
237 70 237
231 69 231
225 67 225
220 65 220
214 63 214
208 62 208
202 60 202
196 58 196
190 57 190
185 55 185
179 53 179
173 51 173
167 50 167
161 48 161
156 46 156
150 44 150
144 43 144
138 41 138
132 39 132
126 38 126
